team,position,full_name,gsis_id,week,touches,snap_share,rush_share,target_share,weighted_opp_share,total_touchdowns,delta_touches,touches_3wk_avg,touches_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,rush_ypc,rush_yoe_per_att,rush_yoe_per_game,stacked_box_rate,catch_rate,rec_yards_per_target,avg_yac_above_expectation,team_implied_points,is_favored,abs_spread,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed,years_exp_filled,is_rookie,is_undrafted,draft_number_filled
SF,RB,Christian McCaffrey,00-0033280,3,32.0,0.91,0.85,0.36585365853658536,62.0,0.0,12.0,28.0,0.0,0.8133333333333334,0.0,23.3,0.0,0.3333333333333333,0.0,3.0588235294117645,-0.28821504057642355,-4.8996556897992,23.52941176470588,0.6666666666666666,5.866666666666666,0.0,14.75,0,1.5,4.79,22.54,4.08,1.080.31,20.00,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,4,28.0,0.85,0.7083333333333334,0.2894736842105263,50.0,1.0,-4.0,26.666666666666668,-1.3333333333333321,0.8433333333333334,0.02083333333333337,23.599999999999998,0.09999999999999787,0.6666666666666666,0.16666666666666663,2.8823529411764706,-2.0135561744012214,-34.230454964820765,11.76470588235294,0.5454545454545454,6.545454545454546,0.0,21.75,0,3.5,3.74,17.31,4.62,0.380.23,12.38,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,10,22.0,0.78,0.5714285714285714,0.2564102564102564,42.0,0.0,-12.0,23.333333333333332,-3.238095238095241,0.8666666666666667,0.008095238095238155,20.566666666666666,-4.704761904761906,0.6666666666666666,-0.33333333333333337,2.5,-1.393897170033794,-16.72676604040553,8.333333333333332,0.8,6.6,0.0,36.75,1,5.5,3.77,20.92,4.69,0.150.15,11.54,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,7,32.0,0.75,0.6153846153846154,0.3076923076923077,48.0,2.0,7.0,29.333333333333332,0.7619047619047592,0.8533333333333334,0.017619047619047756,30.36666666666667,3.923809523809524,1.3333333333333333,0.47619047619047616,5.375,0.7175873593199592,17.222096623679022,41.66666666666667,0.875,9.0,0.0,14.25,0,1.5,4.44,22.38,4.54,0.620.31,17.38,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,11,19.0,0.71,0.52,0.23076923076923078,31.0,3.0,-3.0,25.0,-0.2857142857142847,0.7833333333333333,-0.05523809523809531,29.0,2.157142857142855,1.6666666666666667,0.38095238095238093,6.230769230769231,-0.13568849671214003,-1.7639504572578204,23.076923076923077,0.8333333333333334,6.666666666666667,0.0,29.75,0,3.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,6,25.0,0.93,0.7727272727272727,0.20512820512820512,41.0,1.0,-6.0,28.0,0.0,0.8866666666666667,0.036666666666666736,25.366666666666664,1.0333333333333314,1.0,0.33333333333333337,3.176470588235294,-1.1176798960397605,-19.000558232675928,23.52941176470588,0.875,7.125,0.0,26.25,1,3.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,5,31.0,0.88,0.6666666666666666,0.1836734693877551,49.0,1.0,3.0,30.333333333333332,1.7333333333333307,0.88,0.04600000000000004,25.333333333333332,0.9533333333333296,0.6666666666666666,0.06666666666666665,2.590909090909091,-0.9332663122514514,-20.53185886953193,31.818181818181817,0.8888888888888888,9.11111111111111,0.0,28.75,1,8.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,12,31.0,0.83,0.631578947368421,0.21875,45.0,1.0,12.0,24.0,-1.2857142857142847,0.7733333333333334,-0.05809523809523809,26.633333333333336,-0.1095238095238038,1.3333333333333333,0.04761904761904745,3.7083333333333335,-1.6866099023500543,-40.478637656401304,33.33333333333333,1.0,7.571428571428571,0.0,10.75,0,7.5,4.87,21.69,4.77,0.920.15,18.31,8,0,0,8.0
SF,RB,Christian McCaffrey,00-0033280,13,24.0,0.79,0.6060606060606061,0.13333333333333333,32.0,1.0,-7.0,24.666666666666668,-0.4761904761904745,0.7766666666666667,-0.03476190476190477,26.566666666666663,0.7809523809523782,1.6666666666666667,0.38095238095238093,2.65,-1.9589767781576142,-39.179535563152285,55.00000000000001,1.0,5.25,0.0,14.25,0,5.5,4.24,20.38,5.77,0.540.23,15.46,8,0,0,8.0
MIN,RB,Aaron Jones,00-0033293,2,6.0,0.43,0.2631578947368421,0.047619047619047616,8.0,0.0,-5.0,8.5,0.0,0.46499999999999997,0.0,9.0,0.0,0.5,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0,3.5,4.44,22.38,4.54,0.620.31,17.38,8,0,0,182.0
