team,position,full_name,gsis_id,week,targets,air_yards,snap_share,target_share,air_yards_share,total_touchdowns,delta_targets,rush_attempts,rush_ypa,rush_share,targets_3wk_avg,targets_trend_3v7,air_yards_3wk_avg,air_yards_trend_3v7,snap_share_3wk_avg,snap_share_trend_3v7,fantasy_ppr_3wk_avg,fantasy_ppr_trend_3v7,tds_3wk_avg,tds_trend_3v7,gadget_usage_3wk_avg,yards_per_target,rec_td_rate,catch_rate,fp_per_target,percent_share_of_intended_air_yards,avg_separation,avg_cushion,avg_yac_above_expectation,racr,team_implied_points,is_favored,abs_spread,def_wr_ftps,def_wr_targets,def_wr_yards_per_target,years_exp_filled,is_rookie,is_second_year,is_undrafted,draft_number_filled
BAL,WR,DeAndre Hopkins,00-0030564,5,2.0,23.0,0.26,0.1,,0.0,1.0,0.0,0.0,0.0,1.6666666666666667,-0.1333333333333333,22.333333333333332,-10.466666666666665,0.28,0.006000000000000005,2.966666666666667,-3.9933333333333323,0.0,-0.4,0.0,23.0,0.0,1.0,3.3000000000000003,,,,,2.0,28.25,1,2.5,15.08,18.08,7.049778761061948,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,2,2.0,64.0,0.18,0.06896551724137931,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,48.5,0.0,0.265,0.0,12.95,0.0,1.0,0.0,0.0,32.0,0.5,1.0,7.2,,,,,1.0,22.75,0,12.5,15.69,14.23,7.670414617006325,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,8,1.0,12.0,0.37,0.045454545454545456,,0.0,-3.0,0.0,0.0,0.0,2.3333333333333335,0.3333333333333335,31.0,-2.4285714285714306,0.32,0.0242857142857143,4.333333333333333,-1.552380952380953,0.0,-0.2857142857142857,0.0,14.0,0.0,1.0,2.4000000000000004,,,,,1.1666666666666667,21.75,0,2.5,24.69,17.00,8.95470588235294,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,10,4.0,13.0,0.27,0.13793103448275862,,0.0,3.0,0.0,0.0,0.0,2.0,-0.1428571428571428,21.666666666666668,-5.4761904761904745,0.32,0.015714285714285736,2.0,-0.7000000000000002,0.0,0.0,0.0,4.0,0.0,0.5,0.9,,,,,1.2307692307692308,20.75,0,4.5,20.54,21.23,7.42769665567593,12,0,0,0,27.0
BAL,WR,DeAndre Hopkins,00-0030564,3,2.0,24.0,0.25,0.07142857142857142,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.333333333333336,0.0,0.26,0.0,9.4,0.0,0.6666666666666666,0.0,0.0,6.5,0.0,0.5,1.15,,,,,0.5416666666666666,31.75,0,4.5,25.54,20.31,8.131462333825702,12,0,0,0,27.0
NO,WR,Brandin Cooks,00-0031236,10,0.0,0.0,0.5,0.0,,0.0,-3.0,0.0,0.0,0.0,2.3333333333333335,0.3333333333333335,13.666666666666666,-1.0476190476190474,0.5566666666666666,-0.06619047619047624,2.9333333333333336,0.09047619047619104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,14.75,1,5.5,17.85,15.46,7.8117723156532985,11,0,0,0,20.0
BUF,WR,Brandin Cooks,00-0031236,13,1.0,13.0,0.23,0.043478260869565216,,0.0,1.0,0.0,0.0,0.0,1.3333333333333333,-0.23809523809523814,13.333333333333334,1.4761904761904763,0.4300000000000001,-0.09714285714285703,1.9666666666666668,-0.4619047619047616,0.0,0.0,0.0,13.0,0.0,1.0,2.3,,,,,1.0,15.0,0,3.0,17.85,16.54,7.743651753325273,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,9,3.0,27.0,0.56,0.12,,0.0,-1.0,0.0,0.0,0.0,2.6666666666666665,-0.047619047619047894,14.666666666666666,-12.190476190476192,0.6233333333333334,-0.02809523809523795,3.366666666666667,-0.24761904761904718,0.0,0.0,0.0,5.333333333333333,0.0,0.6666666666666666,1.2,,,,,0.5925925925925926,29.0,1,14.0,17.85,15.46,7.8117723156532985,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,8,4.0,14.0,0.61,0.0784313725490196,,0.0,3.0,0.0,0.0,0.0,2.0,-0.5714285714285716,12.666666666666666,-13.904761904761907,0.65,-0.018571428571428683,3.2000000000000006,-0.5571428571428569,0.0,0.0,0.0,5.5,0.0,0.75,1.3,,,,,1.5714285714285714,15.25,1,4.5,19.77,20.08,7.63496015936255,11,0,0,0,20.0
NO,WR,Brandin Cooks,00-0031236,7,1.0,3.0,0.7,0.03125,,0.0,0.0,0.0,0.0,0.0,1.0,-1.5714285714285716,9.666666666666666,-17.476190476190474,0.5966666666666667,-0.09333333333333338,1.9666666666666668,-1.8476190476190473,0.0,0.0,0.0,3.0,0.0,1.0,1.3,,,,,1.0,22.25,1,4.5,17.85,15.46,7.8117723156532985,11,0,0,0,20.0
