team_abbrev,season,def_pass_ypa_allowed,def_total_tds_allowed,def_pass_int_rate_forced,def_sack_rate,def_fantpt_allowed,def_rush_ypa_allowed
CIN,2023,8.097649186256781,1.5294117647058822,1.0,2.588235294117647,17.1,4.261363636363637
DEN,2023,7.536028119507908,1.8235294117647058,0.6470588235294118,2.4705882352941178,17.1,3.769230769230769
CHI,2023,6.880064829821718,1.8823529411764706,1.2941176470588236,1.7647058823529411,16.8,4.049180327868853
SEA,2023,7.284734133790738,1.3529411764705883,0.6470588235294118,2.7058823529411766,16.7,5.022988505747127
IND,2023,7.331569664902998,1.588235294117647,0.8823529411764706,3.0,16.7,4.902777777777778
MIN,2023,7.006611570247934,1.5294117647058822,0.6470588235294118,2.4705882352941178,16.5,3.6216216216216215
TEN,2023,7.3350877192982455,1.2941176470588236,0.35294117647058826,2.6470588235294117,15.4,3.5
NYG,2023,7.142611683848798,1.4705882352941178,1.0588235294117647,2.0,15.2,5.04
GB,2023,7.27151051625239,1.2941176470588236,0.4117647058823529,2.588235294117647,15.1,5.048192771084337
LV,2023,6.919928825622776,1.3529411764705883,0.7647058823529411,2.6470588235294117,14.6,4.042857142857143
NE,2023,6.609075043630018,1.2941176470588236,0.5882352941176471,2.1176470588235294,14.6,2.2
PIT,2023,7.269230769230769,1.2941176470588236,0.9411764705882353,2.764705882352941,14.6,4.566666666666666
NO,2023,6.753597122302159,1.411764705882353,1.0588235294117647,2.0,14.6,5.444444444444445
KC,2023,6.052346570397112,1.3529411764705883,0.47058823529411764,3.3529411764705883,14.5,3.758241758241758
DAL,2023,6.75494071146245,1.4705882352941178,1.0,2.6470588235294117,14.1,4.012658227848101
SF,2023,6.369354838709677,1.2941176470588236,1.2941176470588236,2.823529411764706,14.0,3.86046511627907
BUF,2023,6.638838475499092,1.2941176470588236,1.0588235294117647,3.1176470588235294,13.9,4.363636363636363
CLE,2023,5.885981308411215,1.6470588235294117,1.0588235294117647,2.8823529411764706,13.4,3.486111111111111
CAR,2023,6.463617463617464,1.2941176470588236,0.47058823529411764,1.588235294117647,12.9,1.7971014492753623
BAL,2023,5.8627760252365935,1.1176470588235294,1.0588235294117647,3.5294117647058822,12.3,5.181818181818182
NYJ,2023,6.095785440613027,1.2352941176470589,1.0,2.823529411764706,12.2,4.260273972602739
