team_abbrev,season,def_rush_ypa_allowed,def_rb_carries_allowed,def_rb_receptions_allowed,def_rb_touchdowns_allowed,def_rb_fantasy_points_allowed
LV,2024,4.332453825857519,22.294117647058822,4.235294117647059,0.8823529411764706,17.7
MIA,2024,4.37910447761194,19.705882352941178,4.117647058823529,0.9411764705882353,17.6
SEA,2024,4.638814016172507,21.823529411764707,4.588235294117647,0.6470588235294118,17.3
GB,2024,4.078717201166181,20.176470588235293,5.352941176470588,0.8823529411764706,17.2
LA,2024,4.515706806282722,22.470588235294116,4.117647058823529,0.5882352941176471,17.1
NYJ,2024,4.060679611650485,24.235294117647058,3.6470588235294117,0.7058823529411765,17.0
DEN,2024,3.863372093023256,20.235294117647058,4.9411764705882355,0.7647058823529411,16.2
CLE,2024,4.113888888888889,21.176470588235293,3.176470588235294,0.8823529411764706,16.0
PIT,2024,4.104046242774566,20.352941176470587,4.294117647058823,0.7647058823529411,15.9
ATL,2024,4.384848484848485,19.41176470588235,5.705882352941177,0.7058823529411765,15.9
MIN,2024,4.141538461538461,19.11764705882353,4.235294117647059,0.8235294117647058,15.5
DET,2024,4.182795698924731,16.41176470588235,3.588235294117647,0.8235294117647058,15.3
HOU,2024,3.93029490616622,21.941176470588236,3.764705882352941,0.5882352941176471,15.0
TB,2024,4.225255972696246,17.235294117647058,5.0,0.6470588235294118,14.7
BAL,2024,3.4554140127388533,18.470588235294116,4.705882352941177,0.7058823529411765,14.6
LAC,2024,4.608187134502924,20.11764705882353,5.0,0.4117647058823529,14.1
KC,2024,3.787974683544304,18.58823529411765,3.588235294117647,0.5294117647058824,12.7
PHI,2024,4.075075075075075,19.58823529411765,4.294117647058823,0.29411764705882354,12.1
ARI,2023,4.617312072892939,25.823529411764707,4.705882352941177,1.2941176470588236,22.8
SEA,2023,4.448529411764706,24.0,4.764705882352941,1.2352941176470589,21.9
DEN,2023,5.228571428571429,22.647058823529413,5.294117647058823,1.0588235294117647,21.5
CAR,2023,4.370283018867925,24.941176470588236,4.0,1.4705882352941178,21.4
IND,2023,4.043478260869565,25.705882352941178,5.117647058823529,1.1176470588235294,21.0
WAS,2023,4.412213740458015,23.11764705882353,5.529411764705882,1.1176470588235294,20.9
NYJ,2023,3.988262910798122,25.058823529411764,4.882352941176471,1.0588235294117647,19.8
NYG,2023,4.594132029339853,24.058823529411764,3.411764705882353,1.0,19.3
LV,2023,4.188442211055277,23.41176470588235,5.235294117647059,0.8823529411764706,18.2
CHI,2023,3.725552050473186,18.647058823529413,6.294117647058823,0.8235294117647058,17.6
PIT,2023,4.243523316062176,22.705882352941178,4.0,0.7647058823529411,17.4
GB,2023,4.1692307692307695,22.941176470588236,4.294117647058823,0.8235294117647058,17.3
LAC,2023,4.015748031496063,22.41176470588235,6.0,0.6470588235294118,17.2
CIN,2023,4.58,20.58823529411765,4.0588235294117645,0.8235294117647058,17.1
CLE,2023,4.394409937888199,18.941176470588236,4.470588235294118,0.7647058823529411,16.2
BUF,2023,4.436305732484076,18.470588235294116,5.0,0.6470588235294118,16.0
JAX,2023,3.9908536585365852,19.294117647058822,6.411764705882353,0.6470588235294118,16.0
HOU,2023,3.348717948717949,22.941176470588236,4.823529411764706,0.7647058823529411,15.9
NE,2023,3.405263157894737,22.352941176470587,5.0588235294117645,0.7647058823529411,15.9
DAL,2023,4.024793388429752,21.352941176470587,3.588235294117647,0.7647058823529411,15.4
MIA,2023,3.8436578171091447,19.941176470588236,3.764705882352941,0.7647058823529411,15.4
TEN,2023,3.8585858585858586,23.294117647058822,3.6470588235294117,0.5882352941176471,15.2
NO,2023,4.1796246648793565,21.941176470588236,4.0,0.5294117647058824,15.2
KC,2023,4.575851393188855,19.0,4.411764705882353,0.5882352941176471,14.9
BAL,2023,4.469565217391304,20.294117647058822,5.0588235294117645,0.47058823529411764,14.8
MIN,2023,3.7768595041322315,21.352941176470587,4.9411764705882355,0.6470588235294118,14.7
PHI,2023,4.0119760479041915,19.647058823529413,4.705882352941177,0.6470588235294118,14.7
ATL,2023,3.812820512820513,22.941176470588236,3.764705882352941,0.5294117647058824,14.7
TB,2023,3.9373219373219372,20.647058823529413,4.470588235294118,0.4117647058823529,13.3
SF,2023,4.139622641509434,15.588235294117647,5.294117647058823,0.5294117647058824,13.1
LA,2023,4.090062111801243,18.941176470588236,4.294117647058823,0.4117647058823529,12.3
DET,2023,3.472972972972973,17.41176470588235,3.4705882352941178,0.5294117647058824,12.2
